num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 10 , outputs=[6.158881 6.158881 6.114633 6.114717 6.121466 6.120907 6.138347 6.138291 6.103414 6.103164 6.152106 6.151965 6.123588 6.123407 6.133803 6.133579 6.151415 6.151429 6.145332 6.145543 6.094268 6.094241 6.145289 6.145303]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 10 , outputs=[12.086297 12.053464 12.141676 12.112803 12.056116 12.167873 12.088583 12.127852 12.056604 12.071242 12.133170 12.056604 12.103573 12.057362 12.078847 12.110945 12.057741 12.119475 12.056549 11.931844 12.058445 12.077216 11.916747 12.183005]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 10 , outputs=[2.054338 2.054367 2.054346 2.054345 2.054346 2.054346 2.060050 2.060052 2.060052 2.060052 2.060050 2.060058 2.062622 2.062622 2.062554 2.062624 2.062619 2.062624 2.062483 2.062483 2.062483 2.062481 2.062424 2.062481]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 10 , outputs=[3.090794 3.090790 3.090798 3.090865 3.091235 3.091200 3.091218 3.091221 3.089272 3.089225 3.089222 3.089225 3.089535 3.089531 3.089656 3.089535 3.090296 3.090299 3.090285 3.090285 3.088422 3.088497 3.088433 3.088436]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 10 , outputs=[4.109564 4.109702 4.109564 4.111483 4.111433 4.111483 4.116414 4.116313 4.116407 4.103495 4.103489 4.103451 4.112453 4.112491 4.112598 4.112214 4.112176 4.112214 4.106967 4.106992 4.106961 4.106433 4.106483 4.106408]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 11 , outputs=[6.138235 6.137772 6.125838 6.125768 6.096331 6.096040 6.127083 6.126915 6.118494 6.118731 6.151697 6.151429 6.104913 6.105149 6.047287 6.047437 6.137688 6.137884 6.107232 6.107232 6.136172 6.136018 6.099808 6.099641]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 11 , outputs=[12.099208 12.061696 12.160046 12.158669 12.048811 12.105101 12.058120 12.047783 12.159606 12.057958 12.150634 12.058174 12.140797 12.075152 12.148710 12.052814 12.062672 12.062997 12.160983 12.132731 12.129441 12.065979 12.057687 12.037141]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 11 , outputs=[2.052695 2.052731 2.052697 2.052695 2.052695 2.052733 2.058319 2.058319 2.058268 2.058270 2.058268 2.058268 2.061525 2.061526 2.061528 2.061528 2.061517 2.061528 2.059576 2.059578 2.059576 2.059619 2.059576 2.059502]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 11 , outputs=[3.091976 3.091972 3.091983 3.091994 3.090762 3.090787 3.090669 3.090773 3.091310 3.091310 3.091314 3.091314 3.091438 3.091442 3.091445 3.091445 3.092101 3.092090 3.092108 3.092090 3.087665 3.087619 3.087655 3.087658]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 11 , outputs=[4.113128 4.112957 4.113121 4.108727 4.108714 4.108721 4.105918 4.105761 4.105754 4.112907 4.112800 4.112901 4.110784 4.110854 4.110929 4.118409 4.118422 4.118308 4.114048 4.113991 4.114048 4.095419 4.095431 4.095388]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 12 , outputs=[6.104941 6.104843 6.097244 6.097092 6.137786 6.137884 6.106413 6.106857 6.146485 6.146542 6.120949 6.121159 6.099073 6.099129 6.133985 6.134069 6.103816 6.103677 6.139428 6.139344 6.135443 6.135275 6.091516 6.091295]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 12 , outputs=[12.055412 12.126318 12.058445 12.144203 12.133279 12.072654 12.062997 12.061750 12.174827 12.130702 12.058933 12.056333 12.056983 12.108759 12.094411 12.122813 12.082381 12.071894 12.064623 12.111655 12.128784 12.066901 12.162746 12.133553]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 12 , outputs=[2.060887 2.060885 2.060885 2.060949 2.060885 2.060885 2.061298 2.061301 2.061300 2.061300 2.061344 2.061301 2.062610 2.062618 2.062618 2.062618 2.062618 2.062618 2.061900 2.061900 2.061903 2.061898 2.061900 2.061900]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 12 , outputs=[3.091566 3.091566 3.091627 3.091641 3.089887 3.089887 3.089919 3.089865 3.089976 3.090015 3.090043 3.089976 3.092353 3.092289 3.092318 3.092289 3.091759 3.091784 3.091777 3.091762 3.091189 3.091185 3.091232 3.091189]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 12 , outputs=[4.114136 4.114067 4.114086 4.110552 4.110696 4.110633 4.113399 4.113405 4.113317 4.106357 4.106332 4.106326 4.092547 4.092478 4.092472 4.112214 4.112208 4.112126 4.111471 4.111483 4.111483 4.115372 4.115448 4.115442]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 13 , outputs=[6.140369 6.140341 6.139316 6.139091 6.140510 6.140468 6.069959 6.069987 6.084488 6.084516 5.944414 5.944730 6.149710 6.146345 6.125419 6.125908 5.946112 5.945981 6.149358 6.149259 6.137435 6.137295 6.123421 6.123532]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 13 , outputs=[12.058499 12.052868 12.053572 12.168535 12.119092 12.145851 12.083577 12.130044 12.107831 12.153385 12.084175 12.065437 12.070102 12.110672 12.142665 12.063810 12.086297 12.052111 12.096264 12.185051 12.078303 12.159826 12.055250 12.080858]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 13 , outputs=[2.059617 2.059559 2.059557 2.059616 2.059557 2.059557 2.061140 2.061142 2.061142 2.061142 2.061142 2.061143 2.061013 2.060955 2.061015 2.061015 2.061015 2.061015 2.062504 2.062505 2.062505 2.062502 2.062505 2.062505]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 13 , outputs=[3.090360 3.090314 3.090328 3.090360 3.090612 3.090588 3.090584 3.090591 3.090235 3.090218 3.090218 3.090214 3.089858 3.089858 3.089855 3.089862 3.087651 3.087665 3.087655 3.087651 3.092361 3.092318 3.092318 3.092314]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 13 , outputs=[4.109733 4.109645 4.109645 4.111861 4.111899 4.111975 4.115524 4.115524 4.115499 4.100292 4.100398 4.100405 4.117304 4.117216 4.117272 4.116755 4.116736 4.116685 4.111836 4.111836 4.111773 4.115619 4.115536 4.115619]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 14 , outputs=[6.147471 6.147344 6.105801 6.105843 6.121899 6.122066 6.142927 6.142899 6.108664 6.108539 6.116556 6.116737 6.129377 6.129517 6.121368 6.121242 6.129279 6.129349 6.120614 6.120293 6.147274 6.147302 6.149456 6.149287]
